"No.","Time","Source","Destination","Protocol","Length","DateTime"
"169","1540469831.304123","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 12:17:11.304123"
"174","1540469831.306122","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 12:17:11.306122"
"179","1540469858.335494","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:17:38.335494"
"189","1540469888.292448","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:18:08.292448"
"200","1540469918.335354","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:18:38.335354"
"204","1540469948.415487","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:19:08.415487"
"214","1540469978.495623","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:19:38.495623"
"218","1540470008.429338","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:20:08.429338"
"229","1540470038.495479","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:20:38.495479"
"233","1540470068.575862","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:21:08.575862"
"243","1540470082.121156","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 12:21:22.121156"
"247","1540470098.655743","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:21:38.655743"
"251","1540470128.566472","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:22:08.566472"
"262","1540470158.655597","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:22:38.655597"
"272","1540470187.333527","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 12:23:07.333527"
"274","1540470188.735728","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:23:08.735728"
"278","1540470218.815859","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:23:38.815859"
"288","1540470248.703092","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:24:08.703092"
"293","1540470278.815849","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:24:38.815849"
"303","1540470308.895632","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:25:08.895632"
"307","1540470338.975672","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:25:38.975672"
"317","1540470355.544442","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 12:25:55.544442"
"321","1540470368.857826","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:26:08.857826"
"326","1540470398.975852","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:26:38.975852"
"336","1540470419.625792","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 12:26:59.625792"
"338","1540470429.055650","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:27:09.055650"
"346","1540470459.135706","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:27:39.135706"
"350","1540470488.994391","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:28:08.994391"
"359","1540470519.055463","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:28:39.055463"
"363","1540470549.135526","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:29:09.135526"
"371","1540470579.215593","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:29:39.215593"
"375","1540470608.129086","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:30:08.129086"
"384","1540470638.175419","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:30:38.175419"
"388","1540470668.255491","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:31:08.255491"
"396","1540470698.335816","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:31:38.335816"
"406","1540470728.267979","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:32:08.267979"
"409","1540470731.345974","192.168.1.1","192.168.1.132","DNS","353","2018-10-25 12:32:11.345974"
"411","1540470731.348220","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 12:32:11.348220"
"414","1540470731.349969","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 12:32:11.349969"
"417","1540470758.335317","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:32:38.335317"
"427","1540470788.415399","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:33:08.415399"
"429","1540470818.495485","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:33:38.495485"
"439","1540470848.406168","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:34:08.406168"
"448","1540470878.495501","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:34:38.495501"
"452","1540470908.575341","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:35:08.575341"
"460","1540470938.655698","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:35:38.655698"
"464","1540470968.543386","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:36:08.543386"
"473","1540470998.655713","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:36:38.655713"
"483","1540471028.735557","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:37:08.735557"
"485","1540471058.815905","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:37:38.815905"
"495","1540471088.680376","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:38:08.680376"
"498","1540471110.997419","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 12:38:30.997419"
"502","1540471118.735487","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:38:38.735487"
"510","1540471148.815587","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:39:08.815587"
"512","1540471178.895935","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:39:38.895935"
"522","1540471208.834370","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:40:08.834370"
"531","1540471238.895982","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:40:38.895982"
"535","1540471268.975834","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:41:08.975834"
"537","1540471275.207036","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 12:41:15.207036"
"545","1540471299.055940","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:41:39.055940"
"549","1540471328.968639","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:42:08.968639"
"558","1540471359.055741","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:42:39.055741"
"562","1540471389.135596","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:43:09.135596"
"572","1540471418.418418","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 12:43:38.418418"
"574","1540471419.215704","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:43:39.215704"
"584","1540471448.102991","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:44:08.102991"
"587","1540471478.175611","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:44:38.175611"
"591","1540471494.510795","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 12:44:54.510795"
"601","1540471508.255726","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:45:08.255726"
"604","1540471538.335568","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:45:38.335568"
"614","1540471568.238781","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:46:08.238781"
"619","1540471598.335627","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:46:38.335627"
"629","1540471628.415986","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:47:08.415986"
"631","1540471631.533211","192.168.1.1","192.168.1.132","DNS","353","2018-10-25 12:47:11.533211"
"633","1540471631.535457","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 12:47:11.535457"
"636","1540471631.537206","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 12:47:11.537206"
"641","1540471658.495596","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:47:38.495596"
"649","1540471688.373569","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:48:08.373569"
"654","1540471718.495405","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:48:38.495405"
"664","1540471748.575515","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:49:08.575515"
"668","1540471778.655375","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:49:38.655375"
"678","1540471808.512365","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:50:08.512365"
"689","1540471838.575235","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:50:38.575235"
"693","1540471868.655347","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:51:08.655347"
"703","1540471898.735460","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:51:38.735460"
"705","1540471928.649166","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:52:08.649166"
"716","1540471958.735525","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:52:38.735525"
"720","1540471988.815388","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:53:08.815388"
"730","1540472018.895512","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:53:38.895512"
"734","1540472048.785971","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:54:08.785971"
"745","1540472078.815357","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:54:38.815357"
"755","1540472108.895470","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:55:08.895470"
"759","1540472138.975583","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:55:38.975583"
"769","1540472168.938762","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:56:08.938762"
"772","1540472191.883690","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 12:56:31.883690"
"776","1540472198.975399","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:56:38.975399"
"784","1540472229.055511","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:57:09.055511"
"788","1540472259.135625","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:57:39.135625"
"798","1540472288.074137","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:58:08.074137"
"803","1540472315.092598","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 12:58:35.092598"
"805","1540472318.175328","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:58:38.175328"
"815","1540472348.254986","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:59:08.254986"
"819","1540472378.334912","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:59:38.334912"
"829","1540472408.210464","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:00:08.210464"
"840","1540472438.334381","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:00:38.334381"
"845","1540472468.414582","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:01:08.414582"
"849","1540472494.306200","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 13:01:34.306200"
"851","1540472498.494292","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:01:38.494292"
"861","1540472524.847650","192.168.1.1","192.168.1.132","DNS","221","2018-10-25 13:02:04.847650"
"863","1540472524.852147","192.168.1.1","192.168.1.132","DNS","484","2018-10-25 13:02:04.852147"
"878","1540472524.942594","192.168.1.1","192.168.1.132","DNS","142","2018-10-25 13:02:04.942594"
"880","1540472524.943843","192.168.1.1","192.168.1.132","DNS","174","2018-10-25 13:02:04.943843"
"895","1540472528.347139","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:02:08.347139"
"900","1540472531.582035","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 13:02:11.582035"
"902","1540472531.584278","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 13:02:11.584278"
"905","1540472531.586026","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 13:02:11.586026"
"906","1540472531.586029","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 13:02:11.586029"
"909","1540472539.365319","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 13:02:19.365319"
"917","1540472558.414120","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:02:38.414120"
"921","1540472588.493850","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:03:08.493850"
"931","1540472618.573586","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:03:38.573586"
"935","1540472648.483926","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:04:08.483926"
"946","1540472678.573418","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:04:38.573418"
"950","1540472708.653171","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:05:08.653171"
"960","1540472738.733180","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:05:38.733180"
"964","1540472768.620305","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:06:08.620305"
"975","1540472798.652850","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:06:38.652850"
"979","1540472828.732872","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:07:08.732872"
"989","1540472858.813164","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:07:38.813164"
"999","1540472888.756508","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:08:08.756508"
"1002","1540472918.812815","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:08:38.812815"
"1012","1540472948.892591","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:09:08.892591"
"1016","1540472978.972632","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:09:38.972632"
"1026","1540473008.913266","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:10:08.913266"
"1029","1540473038.972307","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:10:38.972307"
"1039","1540473069.052354","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:11:09.052354"
"1043","1540473099.132403","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:11:39.132403"
"1053","1540473128.047121","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:12:08.047121"
"1058","1540473158.172155","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:12:38.172155"
"1068","1540473188.252706","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:13:08.252706"
"1072","1540473218.332264","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:13:38.332264"
"1082","1540473248.183206","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:14:08.183206"
"1093","1540473275.733468","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 13:14:35.733468"
"1095","1540473278.252275","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:14:38.252275"
"1099","1540473308.332090","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:15:08.332090"
"1109","1540473338.412157","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:15:38.412157"
"1113","1540473368.318822","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:16:08.318822"
"1124","1540473398.411885","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:16:38.411885"
"1128","1540473428.491953","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:17:08.491953"
"1130","1540473431.620168","192.168.1.1","192.168.1.132","DNS","353","2018-10-25 13:17:11.620168"
"1132","1540473431.622416","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 13:17:11.622416"
"1137","1540473431.624161","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 13:17:11.624161"
"1148","1540473458.572031","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:17:38.572031"
"1152","1540473488.455207","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:18:08.455207"
"1163","1540473518.492054","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:18:38.492054"
"1167","1540473548.571877","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:19:08.571877"
"1177","1540473578.651951","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:19:38.651951"
"1187","1540473608.591607","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:20:08.591607"
"1192","1540473638.651696","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:20:38.651696"
"1202","1540473668.732023","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:21:08.732023"
"1206","1540473698.811851","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:21:38.811851"
"1216","1540473728.728273","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:22:08.728273"
"1221","1540473758.811851","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:22:38.811851"
"1231","1540473788.891681","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:23:08.891681"
"1235","1540473818.972013","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:23:38.972013"
"1245","1540473848.883206","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:24:08.883206"
"1256","1540473878.971769","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:24:38.971769"
"1260","1540473909.051605","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:25:09.051605"
"1270","1540473939.131934","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:25:39.131934"
"1274","1540473969.018140","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:26:09.018140"
"1285","1540473999.131938","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:26:39.131938"
"1289","1540474029.211771","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:27:09.211771"
"1299","1540474059.291857","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:27:39.291857"
"1303","1540474088.154384","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:28:08.154384"
"1314","1540474118.251959","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:28:38.251959"
"1318","1540474148.331794","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:29:08.331794"
"1328","1540474178.411880","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:29:38.411880"
"1338","1540474208.289830","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:30:08.289830"
"1343","1540474238.331938","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:30:38.331938"
"1351","1540474268.411774","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:31:08.411774"
"1355","1540474298.491612","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:31:38.491612"
"1365","1540474328.427031","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:32:08.427031"
"1368","1540474331.823356","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 13:32:11.823356"
"1370","1540474331.825590","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 13:32:11.825590"
"1373","1540474331.827339","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 13:32:11.827339"
"1376","1540474358.491987","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:32:38.491987"
"1386","1540474388.572268","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:33:08.572268"
"1390","1540474418.652540","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:33:38.652540"
"1400","1540474448.565646","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:34:08.565646"
"1403","1540474466.942030","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 13:34:26.942030"
"1407","1540474478.652893","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:34:38.652893"
"1415","1540474508.732889","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:35:08.732889"
"1425","1540474538.812874","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:35:38.812874"
"1429","1540474568.702211","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:36:08.702211"
"1438","1540474595.159487","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 13:36:35.159487"
"1440","1540474598.813415","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:36:38.813415"
"1444","1540474628.893131","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:37:08.893131"
"1454","1540474658.973340","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:37:38.973340"
"1456","1540474660.240871","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 13:37:40.240871"
"1460","1540474688.856903","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:38:08.856903"
"1471","1540474718.973831","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:38:38.973831"
"1475","1540474749.054272","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:39:09.054272"
"1485","1540474779.133461","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:39:39.133461"
"1495","1540474808.994768","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:40:08.994768"
"1500","1540474839.053707","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:40:39.053707"
"1510","1540474869.133630","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:41:09.133630"
"1514","1540474899.220797","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:41:39.220797"
"1524","1540474928.129379","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:42:08.129379"
"1529","1540474958.174065","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:42:38.174065"
"1539","1540474988.253968","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:43:08.253968"
"1543","1540475018.334123","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:43:38.334123"
"1553","1540475048.265112","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:44:08.265112"
"1558","1540475078.334017","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:44:38.334017"
"1568","1540475108.414415","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:45:08.414415"
"1578","1540475138.494310","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:45:38.494310"
"1582","1540475168.401304","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:46:08.401304"
"1593","1540475198.494186","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:46:38.494186"
"1597","1540475228.574325","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:47:08.574325"
"1599","1540475231.949657","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 13:47:11.949657"
"1605","1540475234.948698","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 13:47:14.948698"
"1608","1540475234.950446","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 13:47:14.950446"
"1619","1540475258.654226","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:47:38.654226"
"1623","1540475288.535460","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:48:08.535460"
"1634","1540475318.654322","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:48:38.654322"
"1639","1540475348.734453","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:49:08.734453"
"1643","1540475357.610668","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 13:49:17.610668"
"1653","1540475378.814332","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:49:38.814332"
"1657","1540475408.672094","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:50:08.672094"
"1668","1540475438.734473","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:50:38.734473"
"1670","1540475468.814598","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:51:08.814598"
"1680","1540475498.894473","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:51:38.894473"
"1690","1540475528.824181","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:52:08.824181"
"1693","1540475558.894559","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:52:38.894559"
"1703","1540475588.974429","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:53:08.974429"
"1707","1540475619.054549","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:53:39.054549"
"1717","1540475648.960517","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:54:08.960517"
"1722","1540475679.054628","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:54:39.054628"
"1732","1540475709.134495","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:55:09.134495"
"1736","1540475739.214613","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:55:39.214613"
"1746","1540475768.099660","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:56:08.099660"
"1755","1540475798.174782","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:56:38.174782"
"1759","1540475828.254657","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:57:08.254657"
"1769","1540475858.334504","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:57:38.334504"
"1773","1540475888.233221","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 13:58:08.233221"
"1784","1540475918.334320","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:58:38.334320"
"1788","1540475948.414432","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:59:08.414432"
"1798","1540475978.494792","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 13:59:38.494792"
"1802","1540476008.371269","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 14:00:08.371269"
"1813","1540476038.494604","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 14:00:38.494604"
"1817","1540476068.574963","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 14:01:08.574963"
